fen,played_move_uci
r1bq1rk1/pp2ppbp/1np2np1/2Pp4/3P1B2/2N1PN2/PP2BPPP/R2Q1RK1 b - - 0 9,b6d7
r1bq1rk1/pp1nppbp/2p2np1/2Pp4/3P1B2/2N1PN2/PP2BPPP/R2Q1RK1 w - - 1 10,b2b4
r1bq1rk1/pp1nppbp/2p2np1/2Pp4/1P1P1B2/2N1PN2/P3BPPP/R2Q1RK1 b - - 0 10,f6h5
r1bq1rk1/pp1nppbp/2p3p1/2Pp3n/1P1P1B2/2N1PN2/P3BPPP/R2Q1RK1 w - - 1 11,f4g5
r1bq1rk1/pp1nppbp/2p3p1/2Pp2Bn/1P1P4/2N1PN2/P3BPPP/R2Q1RK1 b - - 2 11,h7h6
r1bq1rk1/pp1nppb1/2p3pp/2Pp2Bn/1P1P4/2N1PN2/P3BPPP/R2Q1RK1 w - - 0 12,g5h4
r1bq1rk1/pp1nppb1/2p3pp/2Pp3n/1P1P3B/2N1PN2/P3BPPP/R2Q1RK1 b - - 1 12,g6g5
r1bq1rk1/pp1nppb1/2p4p/2Pp2pn/1P1P3B/2N1PN2/P3BPPP/R2Q1RK1 w - - 0 13,h4g3
r1bq1rk1/pp1nppb1/2p4p/2Pp2pn/1P1P4/2N1PNB1/P3BPPP/R2Q1RK1 b - - 1 13,h5g3
r1bq1rk1/pp1nppb1/2p4p/2Pp2p1/1P1P4/2N1PNn1/P3BPPP/R2Q1RK1 w - - 0 14,h2g3
r1bq1rk1/pp1nppb1/2p4p/2Pp2p1/1P1P4/2N1PNP1/P3BPP1/R2Q1RK1 b - - 0 14,e7e5
r1bq1rk1/pp1n1pb1/2p4p/2Ppp1p1/1P1P4/2N1PNP1/P3BPP1/R2Q1RK1 w - - 0 15,b4b5
r1bq1rk1/pp1n1pb1/2p4p/1PPpp1p1/3P4/2N1PNP1/P3BPP1/R2Q1RK1 b - - 0 15,e5e4
r1bq1rk1/pp1n1pb1/2p4p/1PPp2p1/3Pp3/2N1PNP1/P3BPP1/R2Q1RK1 w - - 0 16,f3d2
r1bq1rk1/pp1n1pb1/2p4p/1PPp2p1/3Pp3/2N1P1P1/P2NBPP1/R2Q1RK1 b - - 1 16,f8e8
r1bqr1k1/pp1n1pb1/2p4p/1PPp2p1/3Pp3/2N1P1P1/P2NBPP1/R2Q1RK1 w - - 2 17,a1c1
