fen,played_move_uci,best_move_uci,best_eval
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P1q1PB/PP2P3/1K1R4 b - - 1 20,e3e2,e3e2,666
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P3PB/PP2q3/1K1R4 w - - 0 21,d1c1,h4g4,-653
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P3PB/PP2q3/1KR5 b - - 1 21,e2d3,f6g5,655
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2Pq2PB/PP6/1KR5 w - - 2 22,b1a1,b1a1,-595
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2Pq2PB/PP6/K1R5 b - - 3 22,d3d2,f6g5,610
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P3PB/PP1q4/K1R5 w - - 4 23,c1b1,a1b1,-694
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P3PB/PP1q4/KR6 b - - 5 23,e8e1,d7f8,662
1k6/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P3PB/PP1q4/KR2r3 w - - 6 24,g3g4,h4g4,-604
1k6/pbpn1p2/1p1p1bp1/6Nn/3P1PPQ/2P4B/PP1q4/KR2r3 b - - 0 24,e1b1,e1b1,99998
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,e2e4,41
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d7d5,d7d5,-24
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,g1f3,c2c4,30
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,g8f6,g8f6,-30
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,c1f4,c2c4,25
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,g7g6,e7e6,-24
